product_id,name,category,price,in_stock
1,Bring,Transform,280.6,True
2,Could,Cultivate,208.57,True
3,Mention,Aggregate,232.87,False
4,Quality,E-enable,62.43,False
5,Never,Re-intermediate,338.09,True
6,Do,Expedite,219.06,True
7,Reality,Synthesize,409.3,False
8,Ask,Disintermediate,102.16,False
9,Article,Transition,106.5,True
10,Similar,Optimize,324.65,True
11,Natural,Transform,423.77,False
12,Image,Aggregate,238.74,False
13,Energy,Maximize,364.84,False
14,Open,Deploy,499.67,False
15,Help,Innovate,495.18,False
16,Use,Transform,373.45,False
17,Interest,Deliver,371.1,True
18,None,Expedite,127.57,True
19,Oil,Harness,417.6,False
20,Property,Brand,205.53,True
21,Order,Incubate,481.19,False
22,Oil,Re-contextualize,45.31,False
23,Line,,220.74,True
24,Pick,Utilize,280.14,True
25,First,Enhance,205.55,True
26,Sport,Transition,109.24,False
27,Only,Maximize,298.53,True
28,Magazine,Seize,379.18,True
29,Hit,Matrix,324.2,True
30,Talk,Monetize,121.05,False
31,Outside,Redefine,367.15,False
32,Garden,Generate,132.16,False
33,That,Productize,91.73,False
34,First,Integrate,346.88,False
35,Arrive,Redefine,422.18,False
36,Keep,Re-contextualize,243.36,False
37,Read,Iterate,268.04,False
38,Project,Synergize,154.86,False
39,Analysis,Harness,249.84,False
40,Save,Enhance,70.33,False
41,Sign,Strategize,478.14,False
42,Mother,Evolve,401.18,True
43,Stop,Strategize,335.65,True
44,Beautiful,Syndicate,271.41,False
45,Everybody,Evolve,397.12,False
46,Staff,Scale,249.9,False
47,Operation,Aggregate,153.49,False
48,Owner,Aggregate,84.39,True
49,Exactly,Revolutionize,325.55,False
50,Window,Maximize,465.07,False
51,Job,Brand,81.04,True
52,Full,Seize,94.11,True
53,Hard,Re-intermediate,219.63,True
54,Let,Integrate,404.42,False
55,Hour,,150.49,False
56,Arm,Incentivize,130.69,True
57,Gun,Scale,311.88,False
58,Market,Utilize,270.13,False
59,Note,,34.81,False
60,Social,Morph,45.34,False
61,Chance,Scale,323.29,False
62,Western,Repurpose,235.24,True
63,As,Envisioneer,485.63,True
64,Argue,Target,340.87,True
65,Recent,Empower,9.99,True
66,Final,Cultivate,243.1,True
67,Movie,Unleash,210.15,False
68,Trial,Expedite,57.82,True
69,Month,Target,461.99,True
70,Win,Mesh,403.48,False
71,Increase,Extend,118.89,True
72,Return,Seize,131.71,True
73,Eat,Deliver,20.85,False
74,Even,Matrix,151.88,False
75,Far,Enhance,294.39,False
76,Realize,Enable,213.32,False
77,Resource,Re-intermediate,484.78,True
78,Page,Orchestrate,32.76,False
79,Girl,Grow,297.76,False
80,Certainly,Benchmark,429.86,True
81,Risk,Unleash,242.97,False
82,Check,Visualize,6.47,True
83,Onto,Incubate,125.19,True
84,Those,,165.27,False
85,From,Matrix,483.17,True
86,Level,Extend,456.33,False
87,Cup,Transform,474.84,True
88,Sound,Re-intermediate,413.75,False
89,Position,Enhance,179.07,False
90,Agree,Seize,453.41,True
91,Morning,Iterate,490.93,True
92,Create,Iterate,178.29,False
93,Certain,Leverage,133.98,True
94,Issue,,275.72,False
95,Doctor,Extend,97.64,True
96,Cost,Re-contextualize,21.15,False
97,Rise,Harness,473.19,False
98,Interview,Revolutionize,463.24,False
99,Thank,Synergize,85.51,False
100,Wrong,Extend,206.83,True
